MazeType,Time (ms),Width,Height
Debug-RecursiveMazeGen-173,1.2145,173,173
Debug-HuntKillMazeGen-173,3.3381,173,173
Debug-RecursiveMazeGen-175,2.1969,175,175
Debug-HuntKillMazeGen-175,2.2305,175,175
Debug-RecursiveMazeGen-177,2.1629,177,177
Debug-HuntKillMazeGen-177,1.9978,177,177
Debug-RecursiveMazeGen-179,0.8128,179,179
Debug-HuntKillMazeGen-179,2.3818,179,179
Debug-RecursiveMazeGen-181,4.9506,181,181
Debug-HuntKillMazeGen-181,2.1878,181,181
Debug-RecursiveMazeGen-183,1.0517,183,183
Debug-HuntKillMazeGen-183,8.4824,183,183
Debug-RecursiveMazeGen-185,0.9286,185,185
Debug-HuntKillMazeGen-185,2.4182,185,185
Debug-RecursiveMazeGen-187,0.9042,187,187
Debug-HuntKillMazeGen-187,4.7914,187,187
Debug-RecursiveMazeGen-189,1.0599,189,189
Debug-HuntKillMazeGen-189,2.3729,189,189
Debug-RecursiveMazeGen-191,2.1744,191,191
Debug-HuntKillMazeGen-191,2.7245,191,191
Debug-RecursiveMazeGen-193,0.9255,193,193
Debug-HuntKillMazeGen-193,3.5414,193,193
Debug-RecursiveMazeGen-195,0.9277,195,195
Debug-HuntKillMazeGen-195,2.6168,195,195
Debug-RecursiveMazeGen-197,1.0616,197,197
Debug-HuntKillMazeGen-197,2.4754,197,197
Debug-RecursiveMazeGen-199,0.9742,199,199
Debug-HuntKillMazeGen-199,3.3018,199,199
Debug-RecursiveMazeGen-201,1.0756,201,201
Debug-HuntKillMazeGen-201,2.5752,201,201
Debug-RecursiveMazeGen-203,1.09,203,203
Debug-HuntKillMazeGen-203,2.6175,203,203
Debug-RecursiveMazeGen-205,1.0349,205,205
Debug-HuntKillMazeGen-205,2.9767,205,205
Debug-RecursiveMazeGen-207,1.0787,207,207
Debug-HuntKillMazeGen-207,3.1603,207,207
Debug-RecursiveMazeGen-209,1.0847,209,209
Debug-HuntKillMazeGen-209,2.6968,209,209
Debug-RecursiveMazeGen-211,4.753,211,211
Debug-HuntKillMazeGen-211,2.8698,211,211
Debug-RecursiveMazeGen-213,1.3889,213,213
Debug-HuntKillMazeGen-213,3.2602,213,213
Debug-RecursiveMazeGen-215,1.4044,215,215
Debug-HuntKillMazeGen-215,3.7618,215,215
Debug-RecursiveMazeGen-217,1.3015,217,217
Debug-HuntKillMazeGen-217,3.1279,217,217
Debug-RecursiveMazeGen-219,1.6445,219,219
Debug-HuntKillMazeGen-219,3.4463,219,219
Debug-RecursiveMazeGen-221,6.1768,221,221
Debug-HuntKillMazeGen-221,3.5837,221,221
Debug-RecursiveMazeGen-223,1.4794,223,223
Debug-HuntKillMazeGen-223,5.5856,223,223
Debug-RecursiveMazeGen-225,2.5465,225,225
Debug-HuntKillMazeGen-225,5.6756,225,225
Debug-RecursiveMazeGen-227,1.3677,227,227
Debug-HuntKillMazeGen-227,4.4692,227,227
Debug-RecursiveMazeGen-229,1.3924,229,229
Debug-HuntKillMazeGen-229,4.0496,229,229
Debug-RecursiveMazeGen-231,1.4915,231,231
Debug-HuntKillMazeGen-231,5.7847,231,231
Debug-RecursiveMazeGen-233,1.3981,233,233
Debug-HuntKillMazeGen-233,3.9502,233,233
Debug-RecursiveMazeGen-235,2.2281,235,235
Debug-HuntKillMazeGen-235,3.5375,235,235
Debug-RecursiveMazeGen-237,1.4274,237,237
Debug-HuntKillMazeGen-237,7.7083,237,237
Debug-RecursiveMazeGen-239,2.5892,239,239
Debug-HuntKillMazeGen-239,4.4097,239,239
Debug-RecursiveMazeGen-241,3.6241,241,241
Debug-HuntKillMazeGen-241,3.7684,241,241
Debug-RecursiveMazeGen-243,2.8929,243,243
Debug-HuntKillMazeGen-243,5.0351,243,243
Debug-RecursiveMazeGen-245,1.6301,245,245
Debug-HuntKillMazeGen-245,4.5367,245,245
Debug-RecursiveMazeGen-247,1.4626,247,247
Debug-HuntKillMazeGen-247,4.6412,247,247
Debug-RecursiveMazeGen-249,1.4999,249,249
Debug-HuntKillMazeGen-249,4.582,249,249
Debug-RecursiveMazeGen-251,2.2269,251,251
Debug-HuntKillMazeGen-251,4.6218,251,251
Debug-RecursiveMazeGen-253,2.2819,253,253
Debug-HuntKillMazeGen-253,5.2955,253,253
Debug-RecursiveMazeGen-255,1.8983,255,255
Debug-HuntKillMazeGen-255,4.304,255,255
